,open,high,low,last,close,volume,date,symbol,exchange
0,219.9,220.86,217.92,218.52,219.28,612950.0,2020-12-17T20:30:00+0000,MSFT,IEXG
1,219.9,220.86,217.92,218.69,219.28,584450.0,2020-12-17T20:00:00+0000,MSFT,IEXG
2,219.9,220.86,217.92,218.685,219.28,574400.0,2020-12-17T19:45:00+0000,MSFT,IEXG
3,219.9,220.86,217.92,218.88,219.28,560126.0,2020-12-17T19:30:00+0000,MSFT,IEXG
4,219.9,220.86,217.92,219.2,219.28,548776.0,2020-12-17T19:15:00+0000,MSFT,IEXG
5,219.9,220.86,217.92,219.26,219.28,540264.0,2020-12-17T19:00:00+0000,MSFT,IEXG
6,219.9,220.86,217.92,219.2,219.28,531530.0,2020-12-17T18:45:00+0000,MSFT,IEXG
7,219.9,220.86,217.92,219.19,219.28,515431.0,2020-12-17T18:30:00+0000,MSFT,IEXG
8,219.9,220.86,217.92,219.375,219.28,489991.0,2020-12-17T18:15:00+0000,MSFT,IEXG
9,219.9,220.86,217.92,218.91,219.28,464454.0,2020-12-17T18:00:00+0000,MSFT,IEXG
10,219.9,220.86,217.92,218.81,219.28,454377.0,2020-12-17T17:45:00+0000,MSFT,IEXG
11,219.9,220.86,217.92,218.615,219.28,441313.0,2020-12-17T17:30:00+0000,MSFT,IEXG
12,219.9,220.86,217.92,218.41,219.28,423417.0,2020-12-17T17:15:00+0000,MSFT,IEXG
13,219.9,220.86,217.92,218.64,219.28,407021.0,2020-12-17T17:00:00+0000,MSFT,IEXG
14,219.9,220.86,218.035,218.06,219.28,386552.0,2020-12-17T16:45:00+0000,MSFT,IEXG
15,219.9,220.86,218.035,218.51,219.28,376762.0,2020-12-17T16:30:00+0000,MSFT,IEXG
16,219.9,220.86,218.035,218.28,219.28,352834.0,2020-12-17T16:15:00+0000,MSFT,IEXG
17,219.9,220.86,218.035,218.1,219.28,313029.0,2020-12-17T16:00:00+0000,MSFT,IEXG
18,219.9,220.86,218.175,219.28,219.28,245475.0,2020-12-17T15:30:00+0000,MSFT,IEXG
19,219.9,220.86,218.31,218.47,219.28,187093.0,2020-12-17T15:15:00+0000,MSFT,IEXG
20,219.9,220.86,219.24,219.61,219.28,141784.0,2020-12-17T15:00:00+0000,MSFT,IEXG
21,219.9,220.86,219.47,220.18,219.28,83910.0,2020-12-17T14:45:00+0000,MSFT,IEXG
22,219.9,219.91,219.47,219.81,219.28,1487.0,2020-12-17T14:30:00+0000,MSFT,IEXG
23,214.75,220.11,214.72,219.28,214.13,35023253.0,2020-12-17T02:00:00+0000,MSFT,IEXG
24,214.48,220.0,214.48,219.92,214.13,557292.0,2020-12-16T20:30:00+0000,MSFT,IEXG
25,214.48,219.95,214.48,219.67,214.13,534679.0,2020-12-16T20:15:00+0000,MSFT,IEXG
26,214.48,219.95,214.48,219.68,214.13,521213.0,2020-12-16T20:00:00+0000,MSFT,IEXG
27,214.48,219.95,214.48,219.775,214.13,506494.0,2020-12-16T19:45:00+0000,MSFT,IEXG
28,214.48,219.92,214.48,219.13,214.13,493636.0,2020-12-16T19:30:00+0000,MSFT,IEXG
29,214.48,219.92,214.48,218.925,214.13,472759.0,2020-12-16T19:15:00+0000,MSFT,IEXG
30,214.48,219.92,214.48,219.79,214.13,449806.0,2020-12-16T19:00:00+0000,MSFT,IEXG
31,214.48,219.54,214.48,219.53,214.13,429550.0,2020-12-16T18:45:00+0000,MSFT,IEXG
32,214.48,219.34,214.48,218.93,214.13,413738.0,2020-12-16T18:30:00+0000,MSFT,IEXG
33,214.48,219.34,214.48,218.89,214.13,365077.0,2020-12-16T18:00:00+0000,MSFT,IEXG
34,214.48,219.34,214.48,218.91,214.13,344715.0,2020-12-16T17:45:00+0000,MSFT,IEXG
35,214.48,219.34,214.48,218.965,214.13,315389.0,2020-12-16T17:15:00+0000,MSFT,IEXG
36,214.48,219.23,214.48,219.215,214.13,283180.0,2020-12-16T17:00:00+0000,MSFT,IEXG
37,214.48,218.905,214.48,218.8,214.13,254567.0,2020-12-16T16:45:00+0000,MSFT,IEXG
38,214.48,218.15,214.48,217.99,214.13,231515.0,2020-12-16T16:30:00+0000,MSFT,IEXG
39,214.48,217.655,214.48,217.17,214.13,199714.0,2020-12-16T16:00:00+0000,MSFT,IEXG
40,214.48,217.435,214.48,217.415,214.13,174899.0,2020-12-16T15:45:00+0000,MSFT,IEXG
41,214.48,216.625,214.48,216.25,214.13,135007.0,2020-12-16T15:15:00+0000,MSFT,IEXG
42,214.48,215.62,214.48,215.58,214.13,59451.0,2020-12-16T14:45:00+0000,MSFT,IEXG
43,214.48,214.57,214.48,214.57,214.13,253.0,2020-12-16T14:00:00+0000,MSFT,IEXG
44,215.165,215.42,212.24,214.13,214.2,27018106.0,2020-12-16T02:00:00+0000,MSFT,IEXG
45,214.83,215.32,212.26,213.78,214.2,1089298.0,2020-12-15T20:30:00+0000,MSFT,IEXG
46,214.83,215.32,212.26,213.605,214.2,1058982.0,2020-12-15T20:15:00+0000,MSFT,IEXG
47,214.83,215.32,212.26,213.415,214.2,1027303.0,2020-12-15T20:00:00+0000,MSFT,IEXG
48,214.83,215.32,212.26,213.46,214.2,999209.0,2020-12-15T19:45:00+0000,MSFT,IEXG
49,214.83,215.32,212.26,213.35,214.2,975136.0,2020-12-15T19:30:00+0000,MSFT,IEXG
50,214.83,215.32,212.26,213.25,214.2,935295.0,2020-12-15T19:15:00+0000,MSFT,IEXG
51,214.83,215.32,212.26,213.11,214.2,909989.0,2020-12-15T19:00:00+0000,MSFT,IEXG
52,214.83,215.32,212.26,213.59,214.2,818337.0,2020-12-15T18:15:00+0000,MSFT,IEXG
53,214.83,215.32,212.26,213.39,214.2,791862.0,2020-12-15T18:00:00+0000,MSFT,IEXG
54,214.83,215.32,212.26,213.265,214.2,761963.0,2020-12-15T17:45:00+0000,MSFT,IEXG
55,214.83,215.32,212.26,212.975,214.2,728744.0,2020-12-15T17:30:00+0000,MSFT,IEXG
56,214.83,215.32,212.26,212.82,214.2,648056.0,2020-12-15T16:45:00+0000,MSFT,IEXG
57,214.83,215.32,212.26,212.97,214.2,610338.0,2020-12-15T16:30:00+0000,MSFT,IEXG
58,214.83,215.32,212.26,212.585,214.2,529256.0,2020-12-15T16:15:00+0000,MSFT,IEXG
59,214.83,215.32,212.77,212.87,214.2,492497.0,2020-12-15T16:00:00+0000,MSFT,IEXG
60,214.83,215.32,213.045,213.22,214.2,436781.0,2020-12-15T15:45:00+0000,MSFT,IEXG
61,214.83,215.32,213.41,213.87,214.2,173369.0,2020-12-15T15:15:00+0000,MSFT,IEXG
62,214.83,215.32,213.59,213.65,214.2,123637.0,2020-12-15T15:00:00+0000,MSFT,IEXG
63,214.83,215.32,213.61,213.79,214.2,48961.0,2020-12-15T14:45:00+0000,MSFT,IEXG
64,214.83,215.23,214.83,215.17,214.2,208.0,2020-12-15T14:30:00+0000,MSFT,IEXG
65,213.1,216.21,212.88,214.2,213.26,28798379.0,2020-12-15T02:00:00+0000,MSFT,IEXG
66,213.76,216.2,212.94,214.04,213.26,745895.0,2020-12-14T20:45:00+0000,MSFT,IEXG
67,213.76,216.2,212.94,214.9,213.26,721021.0,2020-12-14T20:30:00+0000,MSFT,IEXG
68,213.76,216.2,212.94,214.89,213.26,695848.0,2020-12-14T20:15:00+0000,MSFT,IEXG
69,213.76,216.2,212.94,215.13,213.26,675863.0,2020-12-14T20:00:00+0000,MSFT,IEXG
70,213.76,216.2,212.94,215.03,213.26,651479.0,2020-12-14T19:30:00+0000,MSFT,IEXG
71,213.76,216.2,212.94,214.785,213.26,630291.0,2020-12-14T19:15:00+0000,MSFT,IEXG
72,213.76,216.2,212.94,215.11,213.26,618810.0,2020-12-14T19:00:00+0000,MSFT,IEXG
73,213.76,216.2,212.94,214.88,213.26,600067.0,2020-12-14T18:45:00+0000,MSFT,IEXG
74,213.76,216.2,212.94,214.765,213.26,588206.0,2020-12-14T18:30:00+0000,MSFT,IEXG
75,213.76,216.2,212.94,214.69,213.26,573337.0,2020-12-14T18:15:00+0000,MSFT,IEXG
76,213.76,216.2,212.94,214.61,213.26,556443.0,2020-12-14T18:00:00+0000,MSFT,IEXG
77,213.76,216.2,212.94,214.925,213.26,546971.0,2020-12-14T17:45:00+0000,MSFT,IEXG
78,213.76,216.2,212.94,215.26,213.26,534917.0,2020-12-14T17:30:00+0000,MSFT,IEXG
79,213.76,216.2,212.94,215.705,213.26,519520.0,2020-12-14T17:15:00+0000,MSFT,IEXG
80,213.76,216.2,212.94,216.18,213.26,435241.0,2020-12-14T17:00:00+0000,MSFT,IEXG
81,213.76,215.69,212.94,215.485,213.26,357473.0,2020-12-14T16:45:00+0000,MSFT,IEXG
82,213.76,215.665,212.94,215.58,213.26,342318.0,2020-12-14T16:30:00+0000,MSFT,IEXG
83,213.76,215.655,212.94,215.26,213.26,326090.0,2020-12-14T16:15:00+0000,MSFT,IEXG
84,213.76,215.655,212.94,214.57,213.26,267920.0,2020-12-14T16:00:00+0000,MSFT,IEXG
85,213.76,215.655,212.94,215.11,213.26,196527.0,2020-12-14T15:30:00+0000,MSFT,IEXG
86,213.76,214.775,212.94,214.775,213.26,134141.0,2020-12-14T15:00:00+0000,MSFT,IEXG
87,213.76,214.35,212.94,214.35,213.26,95949.0,2020-12-14T14:45:00+0000,MSFT,IEXG
88,213.76,213.76,212.99,212.99,213.26,673.0,2020-12-14T14:30:00+0000,MSFT,IEXG
89,210.05,213.32,209.11,213.26,210.52,30979440.0,2020-12-12T02:00:00+0000,MSFT,IEXG
90,209.83,213.14,209.12,212.71,210.52,513672.0,2020-12-11T20:30:00+0000,MSFT,IEXG
91,209.83,212.94,209.12,212.66,210.52,473334.0,2020-12-11T20:15:00+0000,MSFT,IEXG
92,209.83,212.94,209.12,212.355,210.52,460639.0,2020-12-11T20:00:00+0000,MSFT,IEXG
93,209.83,212.94,209.12,212.26,210.52,448367.0,2020-12-11T19:45:00+0000,MSFT,IEXG
94,209.83,212.94,209.12,212.23,210.52,434116.0,2020-12-11T19:30:00+0000,MSFT,IEXG
95,209.83,212.94,209.12,212.195,210.52,414690.0,2020-12-11T19:15:00+0000,MSFT,IEXG
96,209.83,212.745,209.12,212.3,210.52,382489.0,2020-12-11T18:45:00+0000,MSFT,IEXG
97,209.83,212.115,209.12,211.8,210.52,366543.0,2020-12-11T18:30:00+0000,MSFT,IEXG
98,209.83,212.115,209.12,211.855,210.52,350408.0,2020-12-11T18:15:00+0000,MSFT,IEXG
99,209.83,212.115,209.12,211.1,210.52,324082.0,2020-12-11T17:45:00+0000,MSFT,IEXG
